par_id,text,keyword,country_code,true_label,pred_label,confidence,correct,error_type
10031,"Adopt a Mission serves as a platform for the church and for likeminded people to reach out to unemployed families in the communities -- whoever is in need . "" <h> The forgotten people of Brooklyn",in-need,za,0,1,0.9897782,False,False Positive (wrongly flagged)
9764,"The most endearing aspect of Nizami Sahib 's personality was the disarming manner in which he helped people who , he knew , were desperately in need of work . He would scratch his shiny , bald head and ask them if they could be so kind as to oblige him by preparing broadcastable material on social hygiene , new developments in mathematics , Hegelian philosophy , or whatever .",in-need,pk,0,1,0.9889987,False,False Positive (wrongly flagged)
9524,"More than 200 people , young and old , were being fed at a soup kitchen . Many were homeless and all of them had an urgent need for some food to try and ward off the effects of the bitter weather .",homeless,ie,0,1,0.9878049,False,False Positive (wrongly flagged)
9249,"In Nyarugusu , Tanzania 's last major refugee camp , the government and United Nations are trying to end a rootless life for generations of people living -- and many born -- in exile .",refugee,ke,0,1,0.98753965,False,False Positive (wrongly flagged)
9798,"The City Without Drugs organisation is still active , as is their YouTube channel . It features hundreds of videos of drug addicts being dragged half-conscious through the street , their faces not blurred , or confessing their alleged worthlessness , their hopelessness , their shame .",hopeless,au,0,1,0.987357,False,False Positive (wrongly flagged)
9326,"The majority of these people now reside , in refugee camps that lack sufficient humanitarian aid , offering refugees little more than a hopeless situation . International charitable organisations fear working in these camps as harassment and violence against those aiding Rohingya Muslims are common .",hopeless,bd,0,1,0.9863046,False,False Positive (wrongly flagged)
9423,"Christmas is celebration of the birth of not merely a child , but a child who changed the destiny of humans forever . It is celebration of the fact that God wanted to be a part of the human race and so he took on flesh and blood and became human like us . We can also show unconditional love through our good deeds and helping those who are in need of our help and care . Be human and merciful .",in-need,in,0,1,0.98571914,False,False Positive (wrongly flagged)
8978,"Jesus begins his teaching in Matthew with the Sermon on the Mount . One group he blesses is those in need of comfort , Blessed are they who mourn , for they will be comforted ( Mt 5:4 ) .",in-need,my,0,1,0.9833413,False,False Positive (wrongly flagged)
9210,"Perhaps one of Lahiri 's most lasting contributions was keeping written records of the conditions of the refugees , with vivid and heart wrenching descriptions of their plight .",refugee,bd,0,1,0.9830679,False,False Positive (wrongly flagged)
9433,""" It beggars belief this scheme has been cobbled together ten weeks from the election when for more than a year Bill English has preferred to write off young unemployed people as pretty damn hopeless and too drugged and lazy .",hopeless,nz,0,1,0.97926795,False,False Positive (wrongly flagged)
10200,"She also praised the efforts to stabilise the lives of refugees , by providing for their basic needs and helping them overcome their challenges , while stressing that supporting refugees is an ongoing part of the UAE 's humanitarian directives , and the country has taken the responsibility to evaluate their needs and provide them with a variety of urgent and essential aid .",refugee,in,0,1,0.9783538,False,False Positive (wrongly flagged)
8626,""" Your personal leadership has been critical to addressing the plight of the Rohingya who fled to safety in your country . I thank you for all you have done to assist these men , women and children in need , "" he wrote in the message .",in-need,bd,0,1,0.97831875,False,False Positive (wrongly flagged)
8689,"Allman Town resident Sonya Wilson ( second left ) , and one of her daughters ( fourth left ) hand out boxed lunches to a group of homeless people on King Street , downtown Kingston , on Thursday .",homeless,jm,0,1,0.9754258,False,False Positive (wrongly flagged)
9936,"Since its inception in 1994 , the NCVT has had vast experience in assisting women from impoverished areas such as Diepsloot , Zandspruit , and Cosmo City . These women often face seemingly hopeless situations , including physical and emotional abuse . With Women 's Month approaching , NCVT reflects on these challenges and the supportive role that social workers play . <h> Poverty and domestic violence",hopeless,za,0,1,0.97461534,False,False Positive (wrongly flagged)
